roc_auc,sensitivity,specificity,f1,accuracy,balanced_accuracy,threshold,tn,fp,fn,tp
0.9973958333333334,1.0,0.6666666666666666,0.9411764705882353,0.9090909090909091,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,32.0
0.9953703703703705,1.0,0.3333333333333333,0.9473684210526315,0.9047619047619048,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,36.0
0.9947916666666667,1.0,0.3333333333333333,0.8888888888888888,0.8181818181818182,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,32.0
0.9861111111111112,1.0,0.3333333333333333,0.9473684210526315,0.9047619047619048,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,36.0
1.0,1.0,0.8333333333333334,0.9047619047619048,0.9069767441860465,0.9166666666666667,0.7591830492019653,20.0,4.0,0.0,19.0
0.9973958333333334,1.0,0.6666666666666666,0.9411764705882353,0.9090909090909091,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,32.0
0.9777777777777779,1.0,0.3333333333333333,0.8823529411764706,0.8095238095238095,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,30.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,31.0
0.9838709677419355,1.0,0.3333333333333333,0.8857142857142857,0.813953488372093,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,31.0
1.0,1.0,0.8333333333333334,0.9,0.9047619047619048,0.9166666666666667,0.7591830492019653,20.0,4.0,0.0,18.0
1.0,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
0.9954954954954955,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
0.9956140350877193,1.0,0.6666666666666666,0.8260869565217391,0.813953488372093,0.8333333333333333,0.7591830492019653,16.0,8.0,0.0,19.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,30.0
0.9946236559139785,1.0,0.3333333333333333,0.8857142857142857,0.813953488372093,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,31.0
1.0,1.0,0.6666666666666666,0.9428571428571428,0.9111111111111111,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,33.0
0.9946236559139785,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
0.9944444444444445,1.0,0.7333333333333333,0.75,0.8095238095238095,0.8666666666666667,0.7591830492019653,22.0,8.0,0.0,12.0
0.9912280701754386,1.0,0.3333333333333333,0.95,0.9090909090909091,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,38.0
0.997863247863248,1.0,0.7777777777777778,0.9285714285714286,0.9090909090909091,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,26.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,36.0
1.0,1.0,0.7777777777777778,0.9259259259259259,0.9069767441860465,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,25.0
0.9957264957264957,1.0,0.3333333333333333,0.9512195121951219,0.9111111111111111,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,39.0
0.9972222222222222,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
0.9972222222222222,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
0.9930555555555556,1.0,0.3333333333333333,0.8,0.7142857142857143,0.6666666666666666,0.7591830492019653,6.0,12.0,0.0,24.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,30.0
1.0,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
0.9976851851851853,1.0,0.7777777777777778,0.9230769230769231,0.9047619047619048,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,24.0
1.0,1.0,0.6666666666666666,0.9428571428571428,0.9111111111111111,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,33.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,31.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,36.0
0.9944444444444444,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
0.9907407407407408,1.0,0.5555555555555556,0.8571428571428571,0.8095238095238095,0.7777777777777778,0.7591830492019653,10.0,8.0,0.0,24.0
0.9954954954954955,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
1.0,1.0,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9166666666666667,0.7591830492019653,20.0,4.0,0.0,20.0
1.0,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,38.0
0.9946236559139785,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
0.9957264957264957,1.0,0.3333333333333333,0.9512195121951219,0.9111111111111111,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,39.0
0.9935897435897436,1.0,0.3333333333333333,0.8125,0.7272727272727273,0.6666666666666666,0.7591830492019653,6.0,12.0,0.0,26.0
0.9973118279569892,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
1.0,1.0,0.6666666666666666,0.9444444444444444,0.9130434782608695,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,34.0
1.0,1.0,0.3333333333333333,0.8918918918918919,0.8222222222222222,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,33.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,36.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,38.0
1.0,1.0,0.3333333333333333,0.8064516129032258,0.7209302325581395,0.6666666666666666,0.7591830492019653,6.0,12.0,0.0,25.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,18.0,0.0,0.0,24.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,18.0,0.0,0.0,24.0
0.9895833333333334,1.0,0.3333333333333333,0.8888888888888888,0.8181818181818182,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,32.0
0.9953703703703705,1.0,0.8333333333333334,0.9,0.9047619047619048,0.9166666666666667,0.7591830492019653,20.0,4.0,0.0,18.0
0.9953703703703705,1.0,0.3333333333333333,0.9473684210526315,0.9047619047619048,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,36.0
0.9973118279569892,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
1.0,1.0,0.7333333333333333,0.7647058823529411,0.813953488372093,0.8666666666666667,0.7591830492019653,22.0,8.0,0.0,13.0
0.9973118279569892,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
0.9912280701754386,1.0,0.3333333333333333,0.7037037037037037,0.627906976744186,0.6666666666666666,0.7591830492019653,8.0,16.0,0.0,19.0
1.0,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,32.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,18.0,0.0,0.0,25.0
0.9957264957264957,1.0,0.3333333333333333,0.9512195121951219,0.9111111111111111,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,39.0
0.9954954954954955,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
1.0,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
1.0,1.0,0.3333333333333333,0.8823529411764706,0.8095238095238095,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,30.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,39.0
0.9954954954954955,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
1.0,1.0,0.6666666666666666,0.9411764705882353,0.9090909090909091,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,32.0
0.9907407407407407,1.0,0.3333333333333333,0.9473684210526315,0.9047619047619048,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,36.0
1.0,1.0,0.3333333333333333,0.8125,0.7272727272727273,0.6666666666666666,0.7591830492019653,6.0,12.0,0.0,26.0
0.9955555555555556,1.0,0.7777777777777778,0.9259259259259259,0.9069767441860465,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,25.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,31.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,38.0
1.0,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
1.0,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
0.9973118279569892,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
1.0,1.0,0.6666666666666666,0.9411764705882353,0.9090909090909091,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,32.0
0.9935897435897436,1.0,0.3333333333333333,0.8125,0.7272727272727273,0.6666666666666666,0.7591830492019653,6.0,12.0,0.0,26.0
0.9930555555555556,1.0,0.3333333333333333,0.8,0.7142857142857143,0.6666666666666666,0.7591830492019653,6.0,12.0,0.0,24.0
1.0,1.0,0.6666666666666666,0.9411764705882353,0.9090909090909091,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,32.0
0.9953703703703703,1.0,0.6666666666666666,0.8181818181818182,0.8095238095238095,0.8333333333333333,0.7591830492019653,16.0,8.0,0.0,18.0
0.9973118279569892,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
0.9933333333333334,1.0,0.3333333333333333,0.8064516129032258,0.7209302325581395,0.6666666666666666,0.7591830492019653,6.0,12.0,0.0,25.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,36.0
1.0,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
1.0,1.0,0.3333333333333333,0.95,0.9090909090909091,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,38.0
1.0,1.0,0.8333333333333334,0.9047619047619048,0.9069767441860465,0.9166666666666667,0.7591830492019653,20.0,4.0,0.0,19.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,38.0
0.9972222222222222,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
1.0,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,38.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,39.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,30.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,18.0,0.0,0.0,24.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,18.0,0.0,0.0,26.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,37.0
0.9916666666666667,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
0.9953703703703705,1.0,0.5555555555555556,0.8571428571428571,0.8095238095238095,0.7777777777777778,0.7591830492019653,10.0,8.0,0.0,24.0
0.9909909909909911,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
0.993421052631579,1.0,0.5,0.76,0.7209302325581395,0.75,0.7591830492019653,12.0,12.0,0.0,19.0
0.9973958333333333,1.0,0.6666666666666666,0.9411764705882353,0.9090909090909091,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,32.0
1.0,1.0,0.7777777777777778,0.9285714285714286,0.9090909090909091,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,26.0
0.9944444444444445,1.0,0.3333333333333333,0.8823529411764706,0.8095238095238095,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,30.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,38.0
0.9912280701754386,1.0,0.3333333333333333,0.7037037037037037,0.627906976744186,0.6666666666666666,0.7591830492019653,8.0,16.0,0.0,19.0
0.9947916666666667,1.0,0.3333333333333333,0.8888888888888888,0.8181818181818182,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,32.0
0.9976851851851851,1.0,0.8333333333333334,0.9,0.9047619047619048,0.9166666666666667,0.7591830492019653,20.0,4.0,0.0,18.0
1.0,1.0,0.5555555555555556,0.8620689655172413,0.813953488372093,0.7777777777777778,0.7591830492019653,10.0,8.0,0.0,25.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,31.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,38.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,24.0,0.0,0.0,20.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,37.0
0.9973118279569894,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
1.0,1.0,0.3333333333333333,0.9512195121951219,0.9111111111111111,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,39.0
0.9953703703703705,1.0,0.7777777777777778,0.9230769230769231,0.9047619047619048,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,24.0
1.0,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
1.0,1.0,0.6666666666666666,0.9411764705882353,0.9090909090909091,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,32.0
1.0,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
0.9972222222222222,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
0.9972222222222222,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,30.0
0.9955555555555556,1.0,0.5555555555555556,0.8620689655172413,0.813953488372093,0.7777777777777778,0.7591830492019653,10.0,8.0,0.0,25.0
0.9946236559139785,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
0.986842105263158,1.0,0.3333333333333333,0.95,0.9090909090909091,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,38.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,36.0
0.9935897435897436,1.0,0.3333333333333333,0.8125,0.7272727272727273,0.6666666666666666,0.7591830492019653,6.0,12.0,0.0,26.0
0.9953703703703705,1.0,0.7777777777777778,0.9230769230769231,0.9047619047619048,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,24.0
1.0,1.0,0.6666666666666666,0.9411764705882353,0.9090909090909091,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,32.0
0.9953703703703705,1.0,0.5555555555555556,0.8571428571428571,0.8095238095238095,0.7777777777777778,0.7591830492019653,10.0,8.0,0.0,24.0
0.9912280701754387,1.0,0.6666666666666666,0.8260869565217391,0.813953488372093,0.8333333333333333,0.7591830492019653,16.0,8.0,0.0,19.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,32.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,32.0
0.9946236559139785,1.0,0.3333333333333333,0.8857142857142857,0.813953488372093,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,31.0
0.9909909909909911,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
0.9973958333333334,1.0,0.6666666666666666,0.9411764705882353,0.9090909090909091,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,32.0
1.0,1.0,0.5555555555555556,0.8571428571428571,0.8095238095238095,0.7777777777777778,0.7591830492019653,10.0,8.0,0.0,24.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,18.0,0.0,0.0,25.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,18.0,0.0,0.0,24.0
1.0,1.0,0.5555555555555556,0.8571428571428571,0.8095238095238095,0.7777777777777778,0.7591830492019653,10.0,8.0,0.0,24.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,39.0
0.9909909909909911,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
0.993421052631579,1.0,0.5,0.76,0.7209302325581395,0.75,0.7591830492019653,12.0,12.0,0.0,19.0
1.0,1.0,0.3333333333333333,0.8,0.7142857142857143,0.6666666666666666,0.7591830492019653,6.0,12.0,0.0,24.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,24.0,0.0,0.0,19.0
1.0,1.0,0.6666666666666666,0.8260869565217391,0.813953488372093,0.8333333333333333,0.7591830492019653,16.0,8.0,0.0,19.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,37.0
0.9868421052631579,1.0,0.5,0.76,0.7209302325581395,0.75,0.7591830492019653,12.0,12.0,0.0,19.0
0.9956140350877193,1.0,0.6666666666666666,0.8260869565217391,0.813953488372093,0.8333333333333333,0.7591830492019653,16.0,8.0,0.0,19.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,33.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,36.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,24.0,0.0,0.0,18.0
0.9977777777777779,1.0,0.7777777777777778,0.9259259259259259,0.9069767441860465,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,25.0
1.0,1.0,0.5,0.76,0.7209302325581395,0.75,0.7591830492019653,12.0,12.0,0.0,19.0
0.9973118279569892,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
0.9957264957264957,1.0,0.3333333333333333,0.9512195121951219,0.9111111111111111,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,39.0
0.9888888888888889,1.0,0.3333333333333333,0.8823529411764706,0.8095238095238095,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,30.0
0.9912280701754386,1.0,0.3333333333333333,0.95,0.9090909090909091,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,38.0
0.9973118279569892,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
1.0,1.0,0.7777777777777778,0.9230769230769231,0.9047619047619048,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,24.0
0.9954954954954955,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
1.0,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,30.0
0.9944444444444445,1.0,0.3333333333333333,0.8823529411764706,0.8095238095238095,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,30.0
0.9911111111111112,1.0,0.5555555555555556,0.8620689655172413,0.813953488372093,0.7777777777777778,0.7591830492019653,10.0,8.0,0.0,25.0
0.9973958333333333,1.0,0.6666666666666666,0.9411764705882353,0.9090909090909091,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,32.0
1.0,1.0,0.6666666666666666,0.9428571428571428,0.9111111111111111,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,33.0
0.9976851851851853,1.0,0.7777777777777778,0.9230769230769231,0.9047619047619048,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,24.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,30.0
0.9864864864864865,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
0.9972222222222222,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
1.0,1.0,0.8333333333333334,0.9,0.9047619047619048,0.9166666666666667,0.7591830492019653,20.0,4.0,0.0,18.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,18.0,0.0,0.0,24.0
0.9976851851851853,1.0,0.7777777777777778,0.9230769230769231,0.9047619047619048,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,24.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,38.0
0.9946236559139785,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
0.9944444444444445,1.0,0.3333333333333333,0.8823529411764706,0.8095238095238095,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,30.0
0.9973118279569892,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,38.0
0.9935897435897436,1.0,0.3333333333333333,0.8125,0.7272727272727273,0.6666666666666666,0.7591830492019653,6.0,12.0,0.0,26.0
0.9976851851851853,1.0,0.7777777777777778,0.9230769230769231,0.9047619047619048,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,24.0
1.0,1.0,0.3333333333333333,0.8857142857142857,0.813953488372093,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,31.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,18.0,0.0,0.0,24.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,18.0,0.0,0.0,26.0
0.9944444444444445,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
1.0,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
0.9956140350877194,1.0,0.3333333333333333,0.95,0.9090909090909091,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,38.0
0.9972222222222222,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,36.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,12.0,0.0,0.0,31.0
1.0,1.0,0.6666666666666666,0.8181818181818182,0.8095238095238095,0.8333333333333333,0.7591830492019653,16.0,8.0,0.0,18.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,38.0
0.9946236559139785,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,38.0
1.0,1.0,0.5,0.7692307692307693,0.7272727272727273,0.75,0.7591830492019653,12.0,12.0,0.0,20.0
1.0,1.0,0.5555555555555556,0.8709677419354839,0.8222222222222222,0.7777777777777778,0.7591830492019653,10.0,8.0,0.0,27.0
1.0,1.0,0.7777777777777778,0.9259259259259259,0.9069767441860465,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,25.0
0.9907407407407407,1.0,0.3333333333333333,0.9473684210526315,0.9047619047619048,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,36.0
0.9833333333333334,1.0,0.3333333333333333,0.8823529411764706,0.8095238095238095,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,30.0
0.9833333333333334,1.0,0.3333333333333333,0.8823529411764706,0.8095238095238095,0.6666666666666666,0.7591830492019653,4.0,8.0,0.0,30.0
1.0,1.0,0.5555555555555556,0.8620689655172413,0.813953488372093,0.7777777777777778,0.7591830492019653,10.0,8.0,0.0,25.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,37.0
0.9973118279569894,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,38.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,37.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,6.0,0.0,0.0,36.0
0.9909909909909911,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
0.9909909909909911,1.0,0.3333333333333333,0.9487179487179487,0.9069767441860465,0.6666666666666666,0.7591830492019653,2.0,4.0,0.0,37.0
1.0,1.0,0.7777777777777778,0.9259259259259259,0.9069767441860465,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,25.0
0.9944444444444445,1.0,0.6666666666666666,0.9375,0.9047619047619048,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,30.0
0.9977777777777779,1.0,0.7777777777777778,0.9259259259259259,0.9069767441860465,0.8888888888888888,0.7591830492019653,14.0,4.0,0.0,25.0
0.9946236559139785,1.0,0.6666666666666666,0.9393939393939394,0.9069767441860465,0.8333333333333333,0.7591830492019653,8.0,4.0,0.0,31.0
1.0,1.0,1.0,1.0,1.0,1.0,0.7591830492019653,18.0,0.0,0.0,24.0
1.0,1.0,0.6,0.6842105263157895,0.7209302325581395,0.8,0.7591830492019653,18.0,12.0,0.0,13.0
